,geometry
21698,POINT (30.25826127415861 59.9349935)
21718,POINT (30.2708974 59.9410629)
21763,POINT (30.28112883071689 59.9471254)
21809,POINT (30.2755553 59.940251)
21834,POINT (30.2809587 59.9408162)
21849,POINT (30.2792907509588 59.94453025)
21934,POINT (30.2773758 59.93940309999999)
22051,POINT (30.2567763 59.946716)
22059,POINT (30.276545527994 59.93573985)
22199,POINT (30.2779527011828 59.93907745)
1,POINT (30.2628121 59.8371606)
2,POINT (30.3760026393255 59.86311185)
3,POINT (30.3898461760562 59.8642619)
4,POINT (30.36086740089011 59.7035591)
6,POINT (30.5888801267241 59.7504734)
8,POINT (29.7696169 59.9036119)
9,POINT (30.3817525 60.02492410000001)
10,POINT (30.58989755 59.74234420000001)
11,POINT (30.4125903 59.9275836)
12,POINT (30.3114165 59.8528132)
13,POINT (30.4337016104022 59.8796156)
14,POINT (30.4281587 59.8908475)
16,POINT (30.6046086 59.74334865)
18,POINT (30.349100302754 59.91176595)
19,POINT (30.34994066966039 59.91797020000001)
21,POINT (30.4060592 59.717854)
22,POINT (30.3676803 59.9362189)
23,POINT (30.3507480065549 59.9296829)
24,POINT (30.3508399965845 59.91274655)
25,POINT (30.410437 59.95171139999999)
26,POINT (30.40667248789411 60.00639449999999)
27,POINT (30.34931286345551 59.92449115)
28,POINT (30.3682884567568 59.89948860000001)
29,POINT (30.3619947 59.9001299)
30,POINT (30.3503358 59.94415890000001)
33,POINT (30.411813 59.95670085)
34,POINT (30.2989521073385 59.91485055)
35,POINT (30.3917037365553 59.8353306)
36,POINT (30.60654797855189 59.74962175)
37,POINT (30.392958973801 59.83501975)
38,POINT (30.6135747863541 59.74819685)
39,POINT (30.4962290355362 59.9403751)
40,POINT (30.3823762 59.947037)
41,POINT (30.2416869986099 60.0243176)
42,POINT (30.4793239 59.93918539999999)
43,POINT (30.48120725391049 59.94858860000001)
44,POINT (30.4104488127528 59.95840535)
45,POINT (30.2954147 59.9131809)
46,POINT (30.3053269963056 59.9263417)
47,POINT (30.2393263 59.93353199999999)
48,POINT (30.204220478898 59.83765525)
52,POINT (30.24498485 59.86013445)
53,POINT (30.2395216 59.8579924)
54,POINT (29.7632663023832 59.99752585)
57,POINT (30.2707897 59.9022387)
58,POINT (30.2458204688005 60.00525245)
59,POINT (30.2438787849814 60.00112945)
60,POINT (30.4375364597524 59.86697065)
62,POINT (30.07563345 59.7337312)
63,POINT (30.3113735429746 59.98359715)
64,POINT (30.3105342 59.9828169)
65,POINT (30.314605331149 59.99523715)
66,POINT (30.1766449316235 59.8400397)
67,POINT (30.3051290128978 59.9559682)
69,POINT (30.2920052 60.02436625)
70,POINT (30.3011829643372 59.8748216)
71,POINT (30.47236973944931 59.88068195)
72,POINT (30.3268943703252 59.8601483)
73,POINT (30.321585 60.0203177)
75,POINT (30.3147250048941 59.98930470000001)
76,POINT (30.4774082122105 59.87311005)
77,POINT (29.8444771 59.8700443)
80,POINT (30.4210766180108 59.72980965)
81,POINT (30.3499601 59.930162)
82,POINT (30.2929938033821 59.91785965)
83,POINT (30.4252848 59.9016395)
84,POINT (30.4145691448982 59.95189345)
85,POINT (30.1516957749324 59.83355765)
86,POINT (30.419415651008 60.03231565)
87,POINT (29.7645067 59.9952346)
88,POINT (29.7611233327738 59.9922424)
89,POINT (30.4224172 59.72685445)
90,POINT (30.2765652715838 59.87694995)
91,POINT (30.2791587164922 59.98570475)
92,POINT (29.7605425 59.99519229999999)
93,POINT (30.4225420217657 59.92523745)
94,POINT (30.5639815054703 59.74829335)
95,POINT (30.3697858 59.900647)
96,POINT (30.1472063 59.788558)
97,POINT (30.4162297697019 59.95053115)
98,POINT (29.7570686704303 60.00117115)
99,POINT (30.4208794967604 59.97677339999999)
